Fixed_nuclide_name,DOE_STD_1196_name,Half-life,unit,FGR_12_name,Half-life,unit,ICRP_38_name,Half-life,unit,ICRP119_107_name,Half-life,unit,JAERI_name,Half-life,unit
Eu-150s,Eu-150m,12.8,h,Eu-150a,12.62,h,Eu-150a,12.62,h,Eu-150m,12.8,h,,,
Eu-152ml,Eu-152m,9.3116,h,Eu-152m,9.32,h,Eu-152m,9.32,h,Eu-152m,9.3116,h,,,
Eu-152ms,Eu-152n,96,m,,,,,,,Eu-152n,96,m,Eu-152n,96,m
In-110l,In-110,4.9,h,In-110b,4.9,h,In-110b,4.9,h,In-110,4.9,h,,,
In-110s,In-110m,69.1,m,In-110a,69.1,m,In-110a,69.1,m,In-110m,69.1,m,,,
Ir-186l,Ir-186,16.64,h,Ir-186a,15.8,h,Ir-186a,15.8,h,Ir-186,16.64,h,,,
Ir-186s,Ir-186m,1.92,h,Ir-186b,1.75,h,Ir-186b,1.75,h,Ir-186m,1.92,h,,,
Ir-190ms,Ir-190m,1.12,h,Ir-190m,1.2,h,Ir-190m,1.2,h,Ir-190m,1.12,h,,,
Ir-190ml,Ir-190n,3.087,h,Ir-190n,3.1,h,Ir-190n,3.1,h,Ir-190n,3.087,h,,,
Ir-192ms,Ir-192m,1.45,m,,,,,,,Ir-192m,1.45,m,,,
Ir-192ml,Ir-192n,241,y,Ir-192m,241,y,Ir-192m,241,y,Ir-192n,241,y,,,
Nb-89l,Nb-89,2.03,h,Nb-89b,122,m,Nb-89b,122,m,Nb-89,2.03,h,,,
Nb-89s,Nb-89m,66,m,Nb-89a,66,m,Nb-89a,66,m,Nb-89m,66,m,,,
Nb-98,Nb-98m,51.3,m,Nb-98,51.5,m,Nb-98,51.5,m,Nb-98m,51.3,m,,,
Np-236l,Np-236,154000,y,Np-236a,115000,y,Np-236a,115000,y,Np-236,154000,y,,,
Np-236s,Np-236m,22.5,h,Np-236b,22.5,h,Np-236b,22.5,h,Np-236m,22.5,h,,,
Re-182l,Re-182,64,h,Re-182b,64,h,Re-182b,64,h,Re-182,64,h,,,
Re-182s,Re-182m,12.7,h,Re-182a,12.7,h,Re-182a,12.7,h,Re-182m,12.7,h,,,
Rh-102,Rh-102m,3.742,y,Rh-102,2.9,y,Rh-102,2.9,y,Rh-102,2.9,y,,,
Rh-102m,Rh-102,207,d,Rh-102m,207,d,Rh-102m,207,d,Rh-102m,207,d,,,
Sb-120s,Sb-120,15.89,m,Sb-120a,15.89,m,Sb-120a,15.89,m,Sb-120,15.89,m,,,
Sb-120l,Sb-120m,5.76,d,Sb-120b,5.76,d,Sb-120b,5.76,d,Sb-120m,5.76,d,,,
Sb-124ms,Sb-124m,93,s,Sb-124m,93,s,Sb-124m,93,s,Sb-124m,93,s,Sb-124m,1.55,m
Sb-124ml,Sb-124n,20.2,m,Sb-124n,20.2,m,Sb-124n,20.2,m,Sb-124n,20.2,m,,,
Sb-128l,Sb-128,9.01,h,Sb-128b,9.01,h,Sb-128b,9.01,h,Sb-128,9.01,h,,,
Sb-128s,Sb-128m,10.4,m,Sb-128a,10.4,m,Sb-128a,10.4,m,Sb-128m,10.4,m,,,
Ta-178l,Ta-178m,2.36,h,Ta-178b,2.2,h,Ta-178b,2.2,h,Ta-178m,2.36,h,,,
Ta-180,,,,Ta-180,10000000000000,y,Ta-180,10000000000000,y,,,,,,
Ta-180m,Ta-180,8.152,h,Ta-180m,8.1,h,Ta-180m,8.1,h,Ta-180,8.152,h,,,
Tb-156ml,Tb-156m,24.4,h,Tb-156m,24.4,h,Tb-156m,24.4,h,Tb-156m,24.4,h,,,
Tb-156ms,Tb-156n,5.3,h,Tb-156n,5,h,Tb-156n,5,h,Tb-156n,5.3,h,,,
