,Nuclide,Chemcial FORM,Half-life,Absorption,Deposit,f1_lt_1y,E_3_Months, f1_gt_1y,1 Years,5 Years,10 Years,15 Years,Adult
0,S-37,Sulphur-37 dioxide,5.05 m,F,85,1.0,7e-11,0.8,4.5e-11,2.6e-11,1.8e-11,1.3e-11,1.1e-11
1,S-37,Carbondisulphide-37,5.05 m,F,100,1.0,8.2e-11,0.8,5.2e-11,3.1e-11,2.1e-11,1.5e-11,1.3e-11
2,S-38,Sulphur-38 dioxide,170.3 m,F,85,1.0,1.6e-09,0.8,9.9e-10,5.5e-10,3.6e-10,2.5e-10,2e-10
3,S-38,Carbon-38 disulphide,170.3 m,F,100,1.0,1.6e-09,0.8,1e-09,5.5e-10,3.4e-10,2.2e-10,1.8e-10
4,Ru-95,Ruthenium-95 tetroxide,1.643 h,F,100,0.1,3.8e-10,0.05,2.3e-10,1.3e-10,8.3e-11,5.6e-11,4.6e-11
5,Te-117,Tellurium-117 vapour,62 m,F,100,0.6,2.1e-10,0.3,1.4e-10,8.1e-11,5.1e-11,3.6e-11,2.9e-11
6,Te-118,Tellurium-118 vapour,6.00 d,F,100,0.6,2.5e-08,0.3,1.5e-08,7.6e-09,4.2e-09,2.6e-09,1.9e-09
7,Te-119,Tellurium-119 vapour,16.03 h,F,100,0.6,7.3e-10,0.3,5.2e-10,3.1e-10,1.9e-10,1.3e-10,1e-10
8,Te-119m,Tellurium-119m vapour,4.70 d,F,100,0.6,4.4e-09,0.3,2.9e-09,1.8e-09,1.1e-09,7.8e-10,6.3e-10
9,I-118,Elemental iodine-118,13.7 m,V,100,1.0,1.5e-09,1.0,1.2e-09,7e-10,3.7e-10,2.4e-10,1.7e-10
10,I-118,Methyl iodine-118,13.7 m,V,70,1.0,1.5e-09,1.0,8.5e-10,4.8e-10,2.3e-10,1.5e-10,9.7e-11
11,I-119,Elemental iodine-119,19.1 m,V,100,1.0,4e-10,1.0,2.8e-10,1.6e-10,9.7e-11,6.8e-11,5.6e-11
12,I-119,Methyl iodine-119,19.1 m,V,70,1.0,1.7e-10,1.0,1.4e-10,7.4e-11,3.7e-11,2.4e-11,1.7e-11
13,i-122,Elemental iodine-122,3.63 m,V,100,1.0,1e-10,1.0,6.7e-11,4e-11,2.8e-11,2.1e-11,1.9e-11
14,I-122,Methyl iodine-122,3.63 m,V,70,1.0,1.3e-11,1.0,8.4e-12,4.3e-12,2.3e-12,1.5e-12,1.1e-12
15,Hg-187,Mercury-187 vapour,2.2 m,a,70,0.04,7.6e-11,0.02,5.5e-11,3.5e-11,2.6e-11,2e-11,1.8e-11
16,Hg-187m,Mercury-187m vapour,2.4 m,a,70,0.04,9.2e-11,0.02,6.7e-11,4.3e-11,3.2e-11,2.4e-11,2.2e-11
17,Hg-188,Mercury-188 vapour,3.25 m,a,70,0.04,7.3e-11,0.02,5.3e-11,3.4e-11,2.5e-11,1.8e-11,1.7e-11
18,Hg-190,Mercury-190 vapour,20.0 m,a,70,0.04,4e-10,0.02,2.9e-10,1.9e-10,1.4e-10,1e-10,9.6e-11
19,Hg-191m,Mercury-191m vapour,50.8 m,a,70,0.04,1.3e-09,0.02,9.7e-10,6.3e-10,4.6e-10,3.5e-10,3.2e-10
20,Hg-192,Mercury-192 vapour,4.85 h,a,70,0.04,4.2e-09,0.02,3.1e-09,2e-09,1.5e-09,1.1e-09,1e-09
21,Hg-205,Mercury-205 vapour,5.2 m,a,70,0.04,5.5e-11,0.02,3.9e-11,2.5e-11,1.8e-11,1.4e-11,1.3e-11
22,Hg-206,Mercury-206 vapour,8.15 m,a,70,0.04,1.8e-10,0.02,1.3e-10,8.3e-11,6.1e-11,4.6e-11,4.2e-11
